INFO  - 2020-09-12 12:17:29.678; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2020-09-12 12:17:29.678; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2020-09-12 12:17:29.679; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2020-09-12 12:17:29.679; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2020-09-12 12:17:29.680; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2020-09-12 12:17:29.681; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2020-09-12 12:17:29.681; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2020-09-12 12:17:29.681; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.682; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2020-09-12 12:17:29.682; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2020-09-12 12:17:29.682; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2020-09-12 12:17:29.682; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2020-09-12 12:17:29.683; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2020-09-12 12:17:29.683; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2020-09-12 12:17:29.684; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2020-09-12 12:17:29.684; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2020-09-12 12:17:29.685; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
INFO  - 2020-09-12 12:17:29.685; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2020-09-12 12:17:29.686; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.686; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
